,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
163,0.657,0.604,8,-6.006,1,0.0296,0.0361,0.0,0.102,0.0779,118.042
164,0.669,0.302,1,-10.896,0,0.0674,0.198,0.000345,0.115,0.299,71.988
165,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001
166,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897
167,0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944
168,0.454,0.865,4,-3.841,1,0.0561,0.0323,0.0,0.186,0.34,166.018
169,0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499
170,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034
171,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
172,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
173,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859
174,0.355,0.728,0,-4.395,1,0.133,0.368,0.0,0.0548,0.646,93.203
175,0.532,0.646,8,-5.137,1,0.057,0.0495,0.0,0.108,0.44,180.075
176,0.811,0.609,10,-8.376,1,0.0996,0.227,0.0,0.102,0.439,120.071
177,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934
178,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005
179,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036
180,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705
181,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948
182,0.6,0.723,6,-4.928,0,0.158,0.109,0.0,0.167,0.463,149.881
183,0.758,0.932,3,-2.809,1,0.0372,0.0558,0.0,0.097,0.592,125.993
184,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592
185,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038
186,0.745,0.5,8,-6.184,1,0.135,0.439,0.0,0.0943,0.433,76.968
187,0.63,0.446,1,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143.078
188,0.64,0.789,8,-4.891,1,0.0644,0.0875,0.0,0.147,0.762,75.018
189,0.715,0.639,5,-5.017,0,0.0752,0.0622,0.0,0.157,0.151,149.996
190,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91
