,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
102,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017
103,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765
104,0.676,0.824,0,-5.752,1,0.0449,0.0271,0.0152,0.363,0.696,122.221
105,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027
106,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028
107,0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757
108,0.594,0.83,10,-5.727,1,0.0632,0.0288,0.0215,0.261,0.69,117.973
109,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625
110,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
111,0.461,0.936,4,-6.824,1,0.104,0.416,0.000135,0.136,0.811,172.43
112,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03
113,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018
114,0.466,0.801,1,-5.175,1,0.0354,0.0209,0.0,0.241,0.379,103.197
115,0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.912
116,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
117,0.548,0.705,8,-10.026,1,0.0375,0.278,1.89e-06,0.158,0.964,159.307
118,0.466,0.634,6,-5.3,1,0.0289,0.0763,0.0,0.0678,0.324,128.992
119,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
120,0.556,0.929,7,-3.659,1,0.037,0.0499,1.7e-06,0.0931,0.842,137.996
121,0.767,0.889,7,-2.988,1,0.0963,0.00611,0.0,0.402,0.843,119.93
